P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file
47.3,0.0,0.0,26.19,0.0,0.0,0.0,0.0,0.0,26.51,0.0,0.0,2.929,511.0,,51.13705,data.xlsx
46.26,0.0,0.0,32.31,0.0,0.0,0.0,0.0,0.0,21.43,0.0,0.0,2.93,508.0,,52.1019,data.xlsx
47.01,0.0,0.0,41.67,0.0,0.0,0.0,0.0,0.0,11.32,0.0,0.0,3.024,494.0,,52.1019,data.xlsx
47.0,0.0,0.0,47.41,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,3.133,494.0,,50.172200000000004,data.xlsx
47.36,0.0,0.0,52.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.235,492.0,,46.312799999999996,data.xlsx
40.8,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,48.6,0.0,0.0,2.87,395.0,2.07e-07,44.36,data.xlsx
39.4,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,39.4,0.0,0.0,2.9,409.0,1.83e-07,44.0,data.xlsx
39.4,0.0,0.0,0.0,0.0,0.0,31.4,0.0,0.0,29.2,0.0,0.0,2.95,442.0,5.14e-08,46.18,data.xlsx
40.1,0.0,0.0,0.0,0.0,0.0,40.3,0.0,0.0,19.6,0.0,0.0,2.98,474.0,1.12e-08,48.11,data.xlsx
37.9,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,9.9,0.0,0.0,3.04,500.0,1.95e-09,49.19,data.xlsx
39.6,0.0,0.0,0.0,0.0,0.0,60.4,0.0,0.0,0.0,0.0,0.0,3.09,525.0,6.41e-11,52.37,data.xlsx
55.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,10.0,0.0,0.0,2.63,352.0,7.7e-11,71.3989,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,10.0,0.0,0.0,2.75,384.0,2e-10,67.53949999999999,data.xlsx
45.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,10.0,0.0,0.0,2.92,404.0,2.37e-10,65.6098,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,10.0,0.0,0.0,3.04,425.0,2.77e-10,64.64495000000001,data.xlsx
35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,10.0,0.0,0.0,3.19,452.0,3.29e-10,62.715250000000005,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,10.0,0.0,0.0,3.32,455.0,2.21e-10,62.715250000000005,data.xlsx
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,10.0,0.0,0.0,3.45,465.0,1.99e-10,62.715250000000005,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,10.0,0.0,0.0,3.59,503.0,1.34e-10,62.715250000000005,data.xlsx
15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,10.0,0.0,0.0,3.78,,1.03e-10,62.715250000000005,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,25.0,0.0,0.0,2.97,371.0,1.44e-08,45.34795,data.xlsx
35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,25.0,0.0,0.0,3.0,348.0,1.26e-09,54.996449999999996,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,25.0,0.0,0.0,3.1,340.0,6.43e-11,65.6098,data.xlsx
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,25.0,0.0,0.0,3.16,334.0,2.61e-11,70.43405,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,25.0,0.0,0.0,3.23,338.0,2.37e-11,71.3989,data.xlsx
15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,25.0,0.0,0.0,3.38,355.0,3.81e-11,71.3989,data.xlsx
10.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,25.0,0.0,0.0,3.5,230.0,1.69e-11,75.2583,data.xlsx
5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,25.0,0.0,0.0,3.61,201.0,1.72e-11,74.29345,data.xlsx
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,10.8,0.0,3.0,384.0,7.65e-07,41.67,data.xlsx
41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,20.8,0.0,3.26,444.0,4.23e-07,42.14,data.xlsx
40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,30.7,0.0,3.63,527.0,1.81e-07,43.02,data.xlsx
42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,40.3,0.0,3.86,613.0,2.6e-08,43.96,data.xlsx
