P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file,avg_radius,avg_charge,avg_field_strength
41.5,0.0,0.0,0.0,0.0,0.0,19.0,39.5,0.0,0.0,0.0,0.0,2.8,329.0,7.59e-10,68.50435,data.xlsx,0.6727,3.61,18.024388762484556
32.2,0.0,0.0,0.0,0.0,0.0,28.4,39.4,0.0,0.0,0.0,0.0,3.04,380.0,2.28e-09,62.715250000000005,data.xlsx,0.6918000000000001,3.7079999999999997,16.423430060597205
21.58,0.0,0.0,0.0,0.0,0.0,38.4,39.8,0.0,0.0,0.0,0.0,3.24,346.0,8.67e-10,65.6098,data.xlsx,0.7160994187211865,3.789336540388855,14.505544245931398
12.0,0.0,0.0,0.0,0.0,0.0,48.2,39.8,0.0,0.0,0.0,0.0,3.4,282.0,8e-11,66.57464999999999,data.xlsx,0.7359399999999999,3.8900000000000006,12.84562731215409
60.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.1205,,,,data.xlsx,0.5260000000000001,3.6,21.991930509868425
59.5,0.5,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5759,,,81.0474,data.xlsx,0.52985,3.58,21.82258103429909
59.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6032,,,94.5553,data.xlsx,0.5337000000000001,3.56,21.653231558729757
58.5,1.5,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6319,,,82.01225,data.xlsx,0.5375500000000001,3.54,21.483882083160424
58.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6412,,,88.7662,data.xlsx,0.5414,3.52,21.31453260759109
57.5,2.5,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6547,,,91.66075,data.xlsx,0.54525,3.5,21.145183132021756
47.8,0.0,0.0,0.0,41.9,0.0,0.0,0.0,10.3,0.0,0.0,0.0,2.7,485.0,2.92e-09,81.0474,data.xlsx,0.82578,3.3240000000000003,18.02858755933873
42.9,0.0,0.0,0.0,36.7,0.0,0.0,0.0,20.4,0.0,0.0,0.0,2.93,562.0,1.83e-09,79.1177,data.xlsx,0.8000400000000001,3.532,17.537516627326003
37.0,0.0,0.0,0.0,31.6,0.0,0.0,0.0,31.4,0.0,0.0,0.0,3.19,687.0,1.63e-10,82.01225,data.xlsx,0.77764,3.736,16.8105736885206
32.7,0.0,0.0,0.0,28.9,0.0,0.0,0.0,38.4,0.0,0.0,0.0,3.38,738.0,1.58e-12,95.52015,data.xlsx,0.76884,3.844,16.161968514668757
26.8,0.0,0.0,0.0,26.2,0.0,0.0,0.0,47.0,0.0,0.0,0.0,3.61,739.0,4.89e-13,98.4147,data.xlsx,0.7642,3.952,15.1546592203183
65.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.4,254.0,4.63e-12,82.9771,data.xlsx,0.6040000000000001,3.6,22.84333428118953
60.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,2.55,291.0,3.43e-11,76.22315,data.xlsx,0.617,3.6,21.72238390463136
55.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,2.66,340.0,1.81e-10,69.4692,data.xlsx,0.63,3.6,20.601433528073184
50.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,2.78,380.0,1.68e-09,61.7504,data.xlsx,0.643,3.6,19.480483151515013
45.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,2.94,470.0,1.08e-08,55.9613,data.xlsx,0.6560000000000001,3.6,18.359532774956843
40.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,3.1,545.0,1.14e-08,54.031600000000005,data.xlsx,0.669,3.6,17.23858239839867
35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,0.0,3.27,587.0,1e-08,53.066750000000006,data.xlsx,0.682,3.6,16.117632021840496
30.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,3.34,620.0,3.57e-09,54.99645,data.xlsx,0.695,3.6,14.996681645282326
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,0.0,0.0,3.58,631.0,2.24e-09,54.99645,data.xlsx,0.7080000000000001,3.6,13.875731268724152
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,0.0,0.0,0.0,3.76,645.0,4.27e-10,58.85585,data.xlsx,0.7210000000000001,3.6,12.754780892165982
24.3,0.0,0.0,0.0,0.0,0.0,0.0,51.0,24.7,0.0,0.0,0.0,3.33,500.0,,,data.xlsx,0.7706200000000001,2.96,11.919460221004087
36.6,0.0,0.0,0.0,0.0,0.0,0.0,50.7,12.7,0.0,0.0,0.0,2.91,405.0,,,data.xlsx,0.7375,2.9719999999999995,14.710735734743473
29.1,0.0,0.0,0.0,0.0,0.0,0.0,55.6,15.3,0.0,0.0,0.0,3.05,423.0,,,data.xlsx,0.7756200000000001,2.7760000000000002,12.47826290893688
29.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,12.5,0.0,0.0,0.0,2.98,407.0,,,data.xlsx,0.7868999999999999,2.66,12.129713889811619
29.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,19.9,0.0,0.0,0.0,3.17,467.0,,,data.xlsx,0.75878,2.9560000000000004,12.961907712500008
29.5,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.5,0.0,0.0,0.0,3.4,518.0,,,data.xlsx,0.7153,3.4,14.322293484188409
34.6,0.0,0.0,0.0,0.0,0.0,0.0,49.9,15.5,0.0,0.0,0.0,2.99,430.0,,,data.xlsx,0.73966,3.0039999999999996,14.352322483870305
41.7,0.0,0.0,0.0,0.0,0.0,0.0,50.5,7.7,0.0,0.0,0.0,2.75,340.0,,,data.xlsx,0.7235635635635634,2.977977977977978,15.880270082602939
40.7,0.0,0.0,0.0,0.0,0.0,0.0,46.6,12.7,0.0,0.0,0.0,2.87,390.0,,,data.xlsx,0.7112599999999999,3.1359999999999997,16.09099540474042
46.3,0.0,0.0,0.0,0.0,0.0,0.0,40.7,12.9,0.0,0.0,0.0,2.83,382.0,,,data.xlsx,0.6743143143143143,3.3703703703703702,18.015774455347877
30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,3.27,564.0,2.0892961308540368e-08,,data.xlsx,0.714,3.4,14.434388521844225
30.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,0.0,0.0,0.0,3.15,530.0,4.786300923226378e-08,,data.xlsx,0.733,3.2,13.872095398406124
30.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,3.07,493.0,6.7608297539198e-08,,data.xlsx,0.752,3.0,13.309802274968025
30.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,15.0,0.0,0.0,0.0,2.94,441.0,9.772372209558103e-08,,data.xlsx,0.7709999999999999,2.8,12.747509151529924
